# Generated by matlabSample/mainHCW.m
# Osculating Keplerian elements (chief: GEO circular equatorial)
# Columns match mRendering orbit_mechanics.CsvEphemeris.
time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad
18990,42164,0,0,0,0,1.38478115723395
19000,42164,0,0,0,0,1.38551037321986
19010,42164,0,0,0,0,1.38623958920576
19020,42164,0,0,0,0,1.38696880519167
19030,42164,0,0,0,0,1.38769802117757
19040,42164,0,0,0,0,1.38842723716348
19050,42164,0,0,0,0,1.38915645314938
19060,42164,0,0,0,0,1.38988566913529
19070,42164,0,0,0,0,1.39061488512119
19080,42164,0,0,0,0,1.3913441011071
19090,42164,0,0,0,0,1.392073317093
19100,42164,0,0,0,0,1.39280253307891
19110,42164,0,0,0,0,1.39353174906481
19120,42164,0,0,0,0,1.39426096505072
19130,42164,0,0,0,0,1.39499018103663
19140,42164,0,0,0,0,1.39571939702253
19150,42164,0,0,0,0,1.39644861300844
19160,42164,0,0,0,0,1.39717782899434
19170,42164,0,0,0,0,1.39790704498025
19180,42164,0,0,0,0,1.39863626096615
19190,42164,0,0,0,0,1.39936547695206
19200,42164,0,0,0,0,1.40009469293796
19210,42164,0,0,0,0,1.40082390892387
19220,42164,0,0,0,0,1.40155312490977
19230,42164,0,0,0,0,1.40228234089568
19240,42164,0,0,0,0,1.40301155688158
19250,42164,0,0,0,0,1.40374077286749
19260,42164,0,0,0,0,1.40446998885339
19270,42164,0,0,0,0,1.4051992048393
19280,42164,0,0,0,0,1.4059284208252
19290,42164,0,0,0,0,1.40665763681111
19300,42164,0,0,0,0,1.40738685279701
19310,42164,0,0,0,0,1.40811606878292
19320,42164,0,0,0,0,1.40884528476882
19330,42164,0,0,0,0,1.40957450075473
19340,42164,0,0,0,0,1.41030371674063
19350,42164,0,0,0,0,1.41103293272654
19360,42164,0,0,0,0,1.41176214871244
19370,42164,0,0,0,0,1.41249136469835
19380,42164,0,0,0,0,1.41322058068425
19390,42164,0,0,0,0,1.41394979667016
19400,42164,0,0,0,0,1.41467901265607
19410,42164,0,0,0,0,1.41540822864197
19420,42164,0,0,0,0,1.41613744462788
19430,42164,0,0,0,0,1.41686666061378
19440,42164,0,0,0,0,1.41759587659969
19450,42164,0,0,0,0,1.41832509258559
19460,42164,0,0,0,0,1.4190543085715
19470,42164,0,0,0,0,1.4197835245574
19480,42164,0,0,0,0,1.42051274054331
19490,42164,0,0,0,0,1.42124195652921
19500,42164,0,0,0,0,1.42197117251512
19510,42164,0,0,0,0,1.42270038850102
19520,42164,0,0,0,0,1.42342960448693
19530,42164,0,0,0,0,1.42415882047283
19540,42164,0,0,0,0,1.42488803645874
19550,42164,0,0,0,0,1.42561725244464
19560,42164,0,0,0,0,1.42634646843055
19570,42164,0,0,0,0,1.42707568441645
19580,42164,0,0,0,0,1.42780490040236
19590,42164,0,0,0,0,1.42853411638826
