time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad,q1,q2,q3,q4
95,6787.52123241956,0.000572970563181495,1.69349833361265,6.28035435903872,6.545835009328,-0.156478451947745,-0.585526468270214,0.328809540164967,-0.498980817891056,0.547778408326109
96,6787.51659251813,0.000572540599537247,1.69349836139284,6.28035436203778,6.54871882714822,-0.158231969404745,-0.604296183449251,0.317055666369337,-0.446694796446859,0.578589306779052
97,6787.51190455818,0.000572106362895079,1.69349838960424,6.28035436511589,6.55160611155003,-0.159988953591334,-0.619606450526121,0.303085199079924,-0.393075230419534,0.608045287619051
98,6787.50716856337,0.000571667861776433,1.69349841824645,6.28035436827401,6.55449690510381,-0.161749447079399,-0.631292232455026,0.28712061836166,-0.338336507181884,0.636050529173218
99,6787.50238455765,0.000571225104823007,1.69349844731898,6.28035437151309,6.55739125075601,-0.163513492816918,-0.639214338287774,0.269399734042936,-0.282693075529815,0.6625054249381
100,6787.49755256559,0.000570778100863864,1.69349847682135,6.28035437483408,6.56028919188323,-0.165281134182019,-0.643260542297574,0.25017374048637,-0.226358892423888,0.687306791843875
101,6787.49267261283,0.000570326858977379,1.69349850675309,6.28035437823791,6.56319077231238,-0.167052415003116,-0.64334662101922,0.229705208066909,-0.169546880910224,0.71034815251657
102,6787.4877447263,0.000569871388532599,1.69349853711382,6.28035438172555,6.56609603630235,-0.168827379540634,-0.639417302812961,0.208266003747127,-0.112468394868275,0.73152009179677
103,6787.48276893437,0.000569411699197624,1.69349856790332,6.28035438529797,6.56900502848994,-0.170606072432875,-0.63144712163246,0.186135135484854,-0.0553326886520319,0.750710688272555
104,6787.47774526662,0.000568947800908737,1.69349859912159,6.28035438895616,6.57191779381018,-0.172388538616385,-0.619441165433851,0.163596514806275,0.00165360897056519,0.767806022694903
105,6787.47267375347,0.000568479703800517,1.69349863076884,6.28035439270116,6.57483437740385,-0.174174823233461,-0.603435707351839,0.140936634470895,0.0582870154140451,0.782690766516972
106,6787.46755442555,0.000568007418106115,1.69349866284552,6.28035439653402,6.57775482453102,-0.175964971545661,-0.583498706644113,0.118442160302853,0.114367707641644,0.79524885504868
107,6787.462387313,0.000567530954046456,1.69349869535229,6.28035440045581,6.58067918050588,-0.177759028868672,-0.559730164985814,0.0963974370431089,0.16970002669655,0.805364251426436
108,6787.45717244529,0.000567050321796162,1.69349872828977,6.28035440446762,6.58360749068992,-0.179557040565489,-0.532262321493158,0.0750819112344668,0.224092972023376,0.812921809040589
109,6787.45190984999,0.000566565531304831,1.6934987616586,6.28035440857053,6.5865398004908,-0.181359052045261,-0.501259668343342,0.0547674764389187,0.277360685671131,0.817808240641335
110,6787.44659955248,0.000566076592237561,1.693498795459,6.28035441276557,6.58947615521784,-0.183165108618805,-0.466918765688485,0.0357157474850777,0.329322928017377,0.819913203157252
111,6787.44124157339,0.000565583513598165,1.69349882969147,6.28035441705383,6.5924166002604,-0.184975255676992,-0.429467831604184,0.018175275094142,0.379805548166505,0.81913050643618
112,6787.43583593181,0.000565086304252242,1.69349886435629,6.28035442143634,6.59536118136201,-0.186789538964834,-0.389166079485192,0.00237871499576887,0.428640954060623,0.815359452508581
113,6787.43038264646,0.000564584973101384,1.6934988994535,6.28035442591412,6.59830994471234,-0.188608004673511,-0.346302771625983,-0.0114600295516664,0.475668588523408,0.808506309176982
114,6787.42488173667,0.00056407952923954,1.69349893498289,6.28035443048815,6.6012629370008,-0.190430699493929,-0.301195954625986,-0.0231486671667419,0.520735418120053,0.798485917496782
115,6787.41933322326,0.000563569982094011,1.69349897094408,6.2803544351594,6.60422020542769,-0.192257670627914,-0.25419084009438,-0.0325193484558939,0.563696441652985,0.78522342709313
116,6787.4137371293,0.000563056341531408,1.69349900733655,6.28035443992882,6.60718179767724,-0.194088965761191,-0.205657793443,-0.0394314280015233,0.604415224076331,0.768656146392309
117,6787.40809348051,0.000562538617914121,1.69349904415976,6.28035444479733,6.6101477618593,-0.195924633005119,-0.155989895030789,-0.0437741111067997,0.642764459616342,0.7487354868705
118,6787.40240230526,0.000562016822102175,1.69349908141318,6.28035444976589,6.61311814643311,-0.197764720820459,-0.105600042187038,-0.045468929545811,0.678626564960942,0.725428971619804
119,6787.39666363439,0.000561490965406035,1.69349911909634,6.28035445483544,6.61609300013202,-0.199609277942057,-0.0549175681712038,-0.0444719821968543,0.711894299653083,0.698722269308121
120,6787.39087750063,0.000560961059502389,1.69349915720887,6.28035446000694,6.61907237190052,-0.201458353315913,-0.00438436525505055,-0.0407758690315616,0.742471406491778,0.668621205458032
121,6787.38504393794,0.000560427116331279,1.6934991957505,6.28035446528136,6.62205631085491,-0.203311996059824,0.0455494860666934,-0.0344112413125147,0.770273260079203,0.635153694468786
122,6787.37916298166,0.000559889148109582,1.69349923472085,6.28035447065965,6.62504486624751,-0.205170255427624,0.0944305614147763,-0.0254478878958164,0.795227506969199,0.598371528594138
123,6787.37323466677,0.000559347167063923,1.69349927411961,6.28035447614279,6.62803808741044,-0.207033180752923,0.141807368815109,-0.0139952780744844,0.817274676509046,0.558351954844244
124,6787.36725902685,0.000558801185288701,1.6934993139466,6.28035448173176,6.63103602386247,-0.208900821555993,0.18723599191143,-0.00020248618492563,0.836368737784578,0.515198968155916
125,6787.36123609451,0.000558251214821146,1.69349935420164,6.28035448742753,6.63403872539325,-0.210773227627972,0.230286010778227,0.0157425671972845,0.852477575412928,0.469044249763266
126,6787.35516590154,0.000557697267661906,1.69349939488447,6.28035449323109,6.63704624212055,-0.212650449088133,0.270546587213721,0.0336146080614671,0.865583355567344,0.420047684003447
127,6787.34904847912,0.000557139355823576,1.69349943599483,6.2803544991434,6.64005862452611,-0.214532536419714,0.307632579914175,0.053153266887894,0.875682753805434,0.368397395053529
128,6787.34288385826,0.000556577491390884,1.69349947753236,6.28035450516541,6.64307592346458,-0.216419540478861,0.341190537223204,0.0740661088455154,0.882787018238007,0.314309257356944
129,6787.33667207017,0.000556011686576197,1.6934995194967,6.2803545112981,6.64609819014712,-0.218311512478213,0.370904403371598,0.096032416193763,0.886921845261629,0.258025849474921
130,6787.33041314652,0.000555441953758899,1.69349956188747,6.28035451754241,6.64912547611071,-0.220208503956267,0.396500769023358,0.118707673391784,0.888127050577954,0.199814840473622
131,6787.3241071196,0.000554868305503804,1.69349960470424,6.28035452389927,6.6521578331871,-0.222110566746254,0.417753500708368,0.141728676100369,0.886456025148933,0.139966819260476
132,6787.31775402236,0.000554290754562155,1.69349964794658,6.28035453036965,6.65519531348769,-0.224017752961071,0.434487595543857,0.164719156764493,0.881974974098456,0.0787925997625421
133,6787.31135388828,0.000553709313863484,1.69349969161404,6.28035453695447,6.65823796941356,-0.225930115003289,0.446582128358235,0.187295795023919,0.874761945610876,0.016620057414512
134,6787.30490675136,0.000553123996509184,1.69349973570612,6.28035454365467,6.66128585369384,-0.227847705603536,0.453972187123893,0.209074462454888,0.864905666121467,-0.0462094273728861
135,6787.29841264604,0.000552534815776028,1.6934997802223,6.28035455047118,6.66433901944646,-0.229770577881223,0.456649727444877,0.229676538142492,0.852504207198113,-0.10934482594488
136,6787.29187160726,0.000551941785131018,1.69349982516204,6.28035455740491,6.66739752024416,-0.2316987854106,0.454663316162951,0.248735127328662,0.837663517577628,-0.172429512230297
137,6787.28528367052,0.000551344918253692,1.69349987052485,6.2803545644568,6.67046141017204,-0.233632382278253,0.448116775396332,0.265901019642783,0.820495860284035,-0.235105394702213
138,6787.27864887202,0.000550744229053578,1.6934999163103,6.28035457162779,6.67353074385576,-0.23557142311132,0.437166778848932,0.280848234495371,0.801118199458795,-0.297017014912582
139,6787.27196724857,0.000550139731670746,1.69349996251812,6.28035457891883,6.67660557645479,-0.237515963070758,0.422019489458798,0.293279020775142,0.779650583848839,-0.357815502171542
